Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
8450965048,"Jan 25, 2023, 5:48:05 PM",Morning Run,Run,,2019,6.41,168.0,81,false,,,activities/9066863785.tcx.gz,,,2019.0,2012.0,6417.2,3.618,3.189,36.9,36.9,51.3,68.7,12.4,-0.1,,,,,,151.0,,,338.0,,,81.0,,,,,,,,,,,,,0.0,,1.0,6481.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.178,4365.6,,,,,,,,,,,,,,,,,""
8456158825,"Jan 26, 2023, 5:39:23 PM",Recovery Run,Run,"",1364,4.21,182.0,62,false,,,activities/9072577585.tcx.gz,,,1364.0,1360.0,4215.7,3.55,3.1,22.1,22.1,54.9,69.2,9.0,-0.3,,,,,,155.0,,,241.0,,,62.0,,,,,,,,,,,0.0,,0.0,,1.0,4240.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.091,3531.7,,,,,,,,,,,,,,,,,""
8466461529,"Jan 28, 2023, 3:48:51 PM",Morning Run,Run,,1721,5.44,171.0,84,false,,,activities/9083985609.tcx.gz,,,1721.0,1712.0,5444.4,3.65,3.18,22.9,22.9,54.9,68.7,10.0,0.0,,,,,,156.0,,,306.0,,,84.0,,,,,,,,,,,,,0.0,,1.0,5487.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.163,4702.9,,,,,,,,,,,,,,,,,""
8468188223,"Jan 28, 2023, 10:55:51 PM",Cool Down,Run,"",764,2.36,173.0,35,false,,,activities/9085938422.tcx.gz,,,764.0,760.0,2365.6,3.542,3.113,11.9,11.9,54.9,66.9,7.6,0.0,,,,,,155.0,,,136.0,,,35.0,,,,,,,,,,,0.0,,0.0,,1.0,2384.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.096,2219.6,,,,,,,,,,,,,,,,,""
8472375129,"Jan 29, 2023, 3:39:51 PM",Morning Run,Run,,1058,3.34,172.0,51,false,,,activities/9090637891.tcx.gz,,,1058.0,1050.0,3343.3,3.858,3.184,15.0,15.0,54.9,67.0,9.0,-0.3,,,,,,155.0,,,189.0,,,51.0,,,,,,,,,,,,,0.0,,1.0,3351.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.16,2672.4,,,,,,,,,,,,,,,,,""
8483465628,"Jan 31, 2023, 5:58:36 PM",Morning Run,Run,,2130,7.12,180.0,110,false,,,activities/9102969642.tcx.gz,,,2130.0,2125.0,7123.5,3.93,3.352,35.2,36.8,54.9,68.7,11.9,0.0,,,,,,158.0,,,386.0,,,110.0,,,,,,,,,,,,,0.0,,1.0,7165.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.344,4585.6,,,,,,,,,,,,,,,,,""
8488823101,"Feb 1, 2023, 6:09:08 PM",Morning Run,Run,"",1176,4.10,,,false,,,,,,1176.0,1176.0,4100.0,,3.486,,,,,,0.0,,,,,,,,,302.0,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.486,0.0,,,,,,,,,,,,,,,,,""
8494443182,"Feb 2, 2023, 5:52:34 PM",Morning Run,Run,,3111,10.12,179.0,164,false,,,activities/9116213633.tcx.gz,,,3111.0,3100.0,10127.3,3.736,3.267,48.8,48.8,52.3,68.7,8.6,0.0,,,,,,159.0,,,564.0,,,164.0,,,,,,,,,,,,,0.0,,1.0,10185.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.255,7618.5,,,,,,,,,,,,,,,,,""
8495564719,"Feb 2, 2023, 10:51:23 PM",Evening cooldown,Run,"",305,1.00,,,false,,,,,,305.0,305.0,1000.0,,3.279,0.0,,,,,0.0,,,,,,,,,74.0,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.279,0.0,,,,,,,,,,,,,,,,,""
8517261041,"Feb 6, 2023, 8:50:11 PM",Lunch Run,Run,,1268,4.01,177.0,71,false,,,activities/9141751693.tcx.gz,,,1268.0,1258.0,4018.8,3.942,3.195,18.0,18.0,54.9,68.7,7.0,-0.2,,,,,,161.0,,,231.0,,,71.0,,,,,,,,,,,,,0.0,,1.0,4032.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.169,3607.6,,,,,,,,,,,,,,,,,""
